,Reference area,TIME_PERIOD,OBS_VALUE
602,Finland,2014-Q3,8.533334
603,Finland,2014-Q4,9.2
604,Finland,2015-Q1,9.3
605,Finland,2015-Q2,9.7
606,Finland,2015-Q3,9.3
607,Finland,2015-Q4,9.5
608,Finland,2016-Q1,9.233334
609,Finland,2016-Q2,8.9
610,Finland,2016-Q3,8.6
611,Finland,2016-Q4,8.966666
612,Finland,2017-Q1,8.966666
613,Finland,2017-Q2,8.966666
614,Finland,2017-Q3,8.566667
615,Finland,2017-Q4,8.433333
616,Finland,2018-Q1,8.433333
617,Finland,2018-Q2,7.2
618,Finland,2018-Q3,7.3
619,Finland,2018-Q4,6.766667
620,Finland,2019-Q1,6.733333
621,Finland,2019-Q2,6.766667
622,Finland,2019-Q3,6.733333
623,Finland,2019-Q4,6.766667
624,France,1994-Q1,10.8
625,France,1994-Q2,10.76667
626,France,1994-Q3,10.63333
627,France,1994-Q4,10.46667
628,France,1995-Q1,10.33333
629,France,1995-Q2,10.43333
630,France,1995-Q3,10.56667
631,France,1995-Q4,10.7
632,France,1996-Q1,10.7
633,France,1996-Q2,10.9
634,France,1996-Q3,10.9
635,France,1996-Q4,10.83333
636,France,1997-Q1,10.9
637,France,1997-Q2,10.93333
638,France,1997-Q3,10.9
639,France,1997-Q4,10.83333
640,France,1998-Q1,10.73333
641,France,1998-Q2,10.7
642,France,1998-Q3,10.63333
643,France,1998-Q4,10.7
644,France,1999-Q1,10.73333
645,France,1999-Q2,10.7
646,France,1999-Q3,10.36667
647,France,1999-Q4,9.966666
648,France,2000-Q1,9.633333
649,France,2000-Q2,9.3
650,France,2000-Q3,9.0
651,France,2000-Q4,8.766666
652,France,2001-Q1,8.566667
653,France,2001-Q2,8.5
654,France,2001-Q3,8.4
655,France,2001-Q4,8.366667
656,France,2002-Q1,8.2
657,France,2002-Q2,8.2
658,France,2002-Q3,8.3
659,France,2002-Q4,8.4
660,France,2003-Q1,8.3
661,France,2003-Q2,8.5
662,France,2003-Q3,8.433333
663,France,2003-Q4,8.833333
664,France,2004-Q1,8.9
665,France,2004-Q2,8.8
666,France,2004-Q3,8.866667
667,France,2004-Q4,8.966666
668,France,2005-Q1,8.633333
669,France,2005-Q2,8.8
670,France,2005-Q3,9.0
671,France,2005-Q4,9.1
672,France,2006-Q1,9.166667
673,France,2006-Q2,8.933333
674,France,2006-Q3,8.933333
675,France,2006-Q4,8.366667
676,France,2007-Q1,8.466666
677,France,2007-Q2,8.133333
678,France,2007-Q3,8.0
679,France,2007-Q4,7.5
680,France,2008-Q1,7.1
681,France,2008-Q2,7.333333
682,France,2008-Q3,7.5
683,France,2008-Q4,7.8
684,France,2009-Q1,8.566667
685,France,2009-Q2,9.166667
686,France,2009-Q3,9.2
687,France,2009-Q4,9.533334
688,France,2010-Q1,9.4
689,France,2010-Q2,9.266666
690,France,2010-Q3,9.2
691,France,2010-Q4,9.2
692,France,2011-Q1,9.166667
693,France,2011-Q2,9.1
694,France,2011-Q3,9.2
695,France,2011-Q4,9.366667
696,France,2012-Q1,9.533334
697,France,2012-Q2,9.7
698,France,2012-Q3,9.733334
699,France,2012-Q4,10.2
700,France,2013-Q1,10.4
701,France,2013-Q2,10.43333
702,France,2013-Q3,10.23333
703,France,2013-Q4,10.16667
704,France,2014-Q1,10.2
705,France,2014-Q2,10.13333
706,France,2014-Q3,10.23333
707,France,2014-Q4,10.46667
708,France,2015-Q1,10.36667
709,France,2015-Q2,10.43333
710,France,2015-Q3,10.3
711,France,2015-Q4,10.26667
712,France,2016-Q1,10.3
713,France,2016-Q2,10.0
714,France,2016-Q3,9.866667
715,France,2016-Q4,10.06667
716,France,2017-Q1,9.633333
717,France,2017-Q2,9.5
718,France,2017-Q3,9.466666
719,France,2017-Q4,9.033334
720,France,2018-Q1,9.266666
721,France,2018-Q2,9.1
722,France,2018-Q3,8.933333
723,France,2018-Q4,8.766666
724,France,2019-Q1,8.733334
725,France,2019-Q2,8.5
726,France,2019-Q3,8.3
727,France,2019-Q4,8.2
728,Germany,1994-Q1,8.466666
729,Germany,1994-Q2,8.533334
730,Germany,1994-Q3,8.433333
731,Germany,1994-Q4,8.266666
732,Germany,1995-Q1,8.133333
733,Germany,1995-Q2,8.1
734,Germany,1995-Q3,8.266666
735,Germany,1995-Q4,8.433333
736,Germany,1996-Q1,8.566667
737,Germany,1996-Q2,8.766666
738,Germany,1996-Q3,9.0
739,Germany,1996-Q4,9.3
740,Germany,1997-Q1,9.533334
741,Germany,1997-Q2,9.7
742,Germany,1997-Q3,9.7
743,Germany,1997-Q4,9.7
744,Germany,1998-Q1,9.666667
745,Germany,1998-Q2,9.5
746,Germany,1998-Q3,9.3
747,Germany,1998-Q4,9.066667
748,Germany,1999-Q1,8.833333
749,Germany,1999-Q2,8.633333
750,Germany,1999-Q3,8.466666
751,Germany,1999-Q4,8.3
752,Germany,2000-Q1,8.133333
753,Germany,2000-Q2,8.0
754,Germany,2000-Q3,7.9
755,Germany,2000-Q4,7.766667
756,Germany,2001-Q1,7.666667
757,Germany,2001-Q2,7.666667
758,Germany,2001-Q3,7.833333
759,Germany,2001-Q4,8.033334
760,Germany,2002-Q1,8.166667
761,Germany,2002-Q2,8.4
762,Germany,2002-Q3,8.733334
763,Germany,2002-Q4,9.1
764,Germany,2003-Q1,9.5
765,Germany,2003-Q2,9.733334
766,Germany,2003-Q3,9.8
767,Germany,2003-Q4,9.8
768,Germany,2004-Q1,10.06667
769,Germany,2004-Q2,10.3
770,Germany,2004-Q3,10.36667
771,Germany,2004-Q4,10.6
772,Germany,2005-Q1,10.83333
773,Germany,2005-Q2,11.2
774,Germany,2005-Q3,11.16667
775,Germany,2005-Q4,10.86667
776,Germany,2006-Q1,10.53333
777,Germany,2006-Q2,10.2
778,Germany,2006-Q3,9.9
779,Germany,2006-Q4,9.566667
780,Germany,2007-Q1,9.066667
781,Germany,2007-Q2,8.6
782,Germany,2007-Q3,8.433333
783,Germany,2007-Q4,8.2
784,Germany,2008-Q1,7.9
